Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Snatch (2000),8.3,Awards,4 wins & 7 nominations,Guy Ritchie,"$83,557,872",R,896,167,819K
Amores perros (2000),8.1,Nominated for 1 Oscar,55 wins & 25 nominations total,Alejandro G. Iñárritu,"$20,908,467",R,418,170,233K
The Princess Bride (1987),8.1,Nominated for 1 Oscar,7 wins & 10 nominations total,Rob Reiner,"$30,902,442",PG,925,227,412K
Frankenstein (1931),7.8,Awards,4 wins & 3 nominations,James Whale,"$1,626",Passed,639,142,70K
Blade Runner (1982),8.1,Nominated for 2 Oscars,12 wins & 19 nominations total,Ridley Scott,"$41,676,878",R,1.6K,277,730K
Twelve Monkeys (1995),8.0,Nominated for 2 Oscars,10 wins & 25 nominations total,Terry Gilliam,"$168,839,459",R,708,202,599K
El secreto de sus ojos (2009),8.2,Won 1 Oscar,53 wins & 43 nominations total,Juan José Campanella,"$35,079,650",R,336,288,202K
Idi i smotri (1985),8.3,Awards,3 wins,Elem Klimov,"$20,929,068",Not Rated,594,133,70K
Salinui chueok (2003),8.1,Awards,31 wins & 4 nominations,Bong Joon Ho,"$1,166,717",Not Rated,339,174,163K
Good Will Hunting (1997),8.3,Won 2 Oscars,24 wins & 61 nominations total,Gus Van Sant,"$225,933,435",R,971,166,910K
Sideways (2004),7.5,Won 1 Oscar,122 wins & 91 nominations total,Alexander Payne,"$109,706,931",R,909,183,186K
The Truman Show (1998),8.1,Nominated for 3 Oscars,40 wins & 69 nominations total,Peter Weir,"$264,118,201",PG,1.3K,253,1M
Terminator 2: Judgment Day (1991),8.5,Won 4 Oscars,36 wins & 33 nominations total,James Cameron,"$520,881,154",R,1.4K,313,1M
Menace II Society (1993),7.5,Awards,2 wins & 4 nominations,Albert Hughes,"$27,912,072",R,139,37,56K
The Terminator (1984),8.0,Awards,8 wins & 6 nominations,James Cameron,"$78,371,200",R,992,249,825K
Down by Law (1986),7.7,Awards,4 wins & 6 nominations,Jim Jarmusch,"$1,504,286",R,117,85,50K
V for Vendetta (2005),8.1,Awards,7 wins & 29 nominations,James McTeigue,"$132,511,035",R,2.3K,203,1.1M
Chinatown (1974),8.2,Won 1 Oscar,21 wins & 24 nominations total,Roman Polanski,"$29,225,935",R,587,162,312K
Young Frankenstein (1974),8.0,Nominated for 2 Oscars,11 wins & 8 nominations total,Mel Brooks,"$86,273,333",PG,393,126,153K
Minority Report (2002),7.6,Nominated for 1 Oscar,20 wins & 91 nominations total,Steven Spielberg,"$358,372,926",PG-13,1.4K,266,530K
Mar adentro (2004),8.0,Won 1 Oscar,69 wins & 38 nominations total,Alejandro Amenábar,"$43,731,621",PG-13,147,161,80K
Planet of the Apes (1968),8.0,Won 1 Oscar,6 wins & 4 nominations total,Franklin J. Schaffner,"$32,599,488",G,476,170,174K
Interview with the Vampire: The Vampire Chronicles (1994),7.5,Nominated for 2 Oscars,24 wins & 36 nominations total,Neil Jordan,"$223,664,608",R,497,75,307K
Midnight Cowboy (1969),7.8,Won 3 Oscars,28 wins & 16 nominations total,John Schlesinger,"$44,785,053",X,415,136,107K
Marathon Man (1976),7.4,Nominated for 1 Oscar,4 wins & 11 nominations total,John Schlesinger,"$21,709,020",R,202,97,61K
The Wild Bunch (1969),7.9,Nominated for 2 Oscars,6 wins & 8 nominations total,Sam Peckinpah,"$638,641",R,350,134,82K
Being There (1979),8.0,Won 1 Oscar,14 wins & 15 nominations total,Hal Ashby,"$30,177,511",PG,353,126,70K
Per qualche dollaro in più (1965),8.2,Awards,2 nominations,Sergio Leone,"$15,000,000",R,325,99,246K
Ugetsu monogatari (1953),8.2,Nominated for 1 Oscar,5 wins & 2 nominations total,Kenji Mizoguchi,"$24,959",Not Rated,98,103,23K
The Haunting (1963),7.5,Awards,2 nominations,Robert Wise,$742,G,445,109,38K
Zulu (1964),7.7,Awards,1 nomination total,Cy Endfield,Zulu - Die Schlacht von Rorkes Drift,Not Rated,279,44,38K
Almost Famous (2000),7.9,Won 1 Oscar,53 wins & 103 nominations total,Cameron Crowe,"$47,386,287",R,916,171,267K
Targets (1968),7.4,Awards,1 win,Peter Bogdanovich,"$130,000 (estimated)",R,109,83,9.2K
Interstellar (2014),8.6,Won 1 Oscar,44 wins & 148 nominations total,Christopher Nolan,"$701,729,206",PG-13,4.8K,633,1.6M
What's Eating Gilbert Grape (1993),7.7,Nominated for 1 Oscar,8 wins & 7 nominations total,Lasse Hallström,"$10,032,765",PG-13,389,95,227K
Body Heat (1981),7.4,Awards,6 nominations total,Lawrence Kasdan,"$24,058,838",R,198,76,34K
Bad Day at Black Rock (1955),7.7,Nominated for 3 Oscars,4 wins & 8 nominations total,John Sturges,"$10,813",Passed,174,71,21K
Run Silent Run Deep (1958),7.3,Awards,1 nomination,Robert Wise,Approved,Approved,90,41,11K
What Ever Happened to Baby Jane? (1962),8.1,Won 1 Oscar,4 wins & 11 nominations total,Robert Aldrich,"$980,000 (estimated)",Passed,265,115,53K
Dirty Harry (1971),7.7,Awards,2 wins & 4 nominations,Don Siegel,"$35,976,000",R,400,151,151K
Kumonosu-jô (1957),8.1,Awards,4 wins & 2 nominations,Akira Kurosawa,"$46,808",Not Rated,162,95,50K
Predator (1987),7.8,Nominated for 1 Oscar,3 wins & 6 nominations total,John McTiernan,"$98,268,458",R,873,277,391K
Man on Fire (2004),7.7,Awards,1 win & 7 nominations,Tony Scott,"$130,834,852",R,849,159,348K
Trance (2013),6.9,Awards,3 wins & 3 nominations,Danny Boyle,"$24,261,569",R,244,407,112K
The Revenant (2015),8.0,Won 3 Oscars,92 wins & 188 nominations total,Alejandro G. Iñárritu,"$532,950,503",R,1.7K,654,752K
Cloud Atlas (2012),7.4,Awards,15 wins & 79 nominations,Tom Tykwer,"$130,516,424",R,1K,527,354K
Shallow Grave (1994),7.3,Awards,14 wins & 1 nomination total,Danny Boyle,"$2,079,569",R,165,80,59K
